year,team,tg,g,pa,hr,r,rbi,sb,bb%,k%,iso,babip,avg,obp,slg,woba,wrc+,bsr,off,def,war,era,whip,defeff,rtot,defrunssaved,made_playoffs
2002,PITTSBURGH PIRATES,161,2343,6049,142,641,610,86,8.90%,18.30%,0.137,0.281,0.244,0.319,0.381,0.308,84,7.9,-113.0,46.3,13.0,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2001,PITTSBURGH PIRATES,162,2199,6027,161,657,618,93,7.70%,18.40%,0.146,0.281,0.247,0.313,0.393,0.306,80,-13.3,-167.4,38.4,6.7,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2000,PITTSBURGH PIRATES,162,2202,6369,168,793,749,86,8.90%,16.20%,0.157,0.299,0.267,0.339,0.424,0.333,91,-0.4,-82.5,-14.3,10.6,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2024,PHILADELPHIA PHILLIES,162,2317,6166,198,784,750,148,8.40%,22.20%,0.168,0.306,0.257,0.325,0.425,0.325,108,10.1,69.6,-12.8,27.1,4.01,1.24,0.701,7.0,-21.0,1
2023,PHILADELPHIA PHILLIES,162,2323,6207,220,796,771,141,8.70%,23.90%,0.182,0.308,0.256,0.327,0.438,0.329,106,10.4,55.2,-40.2,22.5,4.02,1.24,0.703,6.0,13.0,1
2022,PHILADELPHIA PHILLIES,162,2327,6077,205,747,719,105,7.90%,22.40%,0.169,0.299,0.253,0.317,0.422,0.322,107,2.7,49.3,-45.9,22.3,3.97,1.26,0.702,-7.0,3.0,1
2021,PHILADELPHIA PHILLIES,162,2394,6089,198,734,700,77,9.30%,23.00%,0.168,0.286,0.24,0.318,0.408,0.313,94,6.5,-44.0,23.1,18.4,4.39,1.29,0.702,-5.0,-9.0,0
2020,PHILADELPHIA PHILLIES,60,875,2223,82,306,289,35,10.30%,21.60%,0.183,0.299,0.257,0.342,0.439,0.336,108,5.5,29.2,-20.5,6.8,5.14,1.5,0.674,-32.0,-10.0,0
2019,PHILADELPHIA PHILLIES,162,2431,6261,215,774,742,78,9.00%,23.20%,0.181,0.293,0.246,0.319,0.427,0.314,90,9.1,-70.4,57.4,18.1,4.53,1.36,0.688,-13.0,-17.0,0
2018,PHILADELPHIA PHILLIES,162,2474,6136,186,677,653,69,9.50%,24.80%,0.158,0.289,0.234,0.314,0.393,0.307,91,-0.9,-72.3,0.8,12.0,4.14,1.3,0.694,-2.0,2.0,0
2017,PHILADELPHIA PHILLIES,162,2308,6133,174,690,654,59,8.10%,23.10%,0.159,0.304,0.25,0.315,0.409,0.31,87,-13.0,-112.9,9.7,10.7,4.55,1.39,0.688,-29.0,-22.0,0
2016,PHILADELPHIA PHILLIES,162,2348,5992,161,610,575,96,7.10%,23.00%,0.144,0.292,0.24,0.301,0.385,0.296,81,3.0,-135.3,18.7,7.6,4.63,1.37,0.688,-28.0,-21.0,0
2015,PHILADELPHIA PHILLIES,162,2321,6053,130,626,586,88,6.40%,21.00%,0.133,0.299,0.249,0.303,0.382,0.298,86,-1.9,-100.3,-3.9,8.8,4.69,1.48,0.68,-22.0,-21.0,0
2014,PHILADELPHIA PHILLIES,162,2282,6198,125,619,584,109,7.10%,21.10%,0.121,0.292,0.242,0.302,0.363,0.295,86,10.6,-85.5,-0.7,11.1,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2013,PHILADELPHIA PHILLIES,162,2310,6014,140,610,578,73,6.90%,20.00%,0.135,0.293,0.248,0.306,0.384,0.303,89,-7.4,-81.9,-19.5,8.6,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2012,PHILADELPHIA PHILLIES,162,2294,6172,158,684,659,116,7.40%,17.70%,0.144,0.29,0.255,0.317,0.4,0.311,93,10.7,-40.8,56.3,21.3,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2011,PHILADELPHIA PHILLIES,162,2203,6279,153,713,693,96,8.60%,16.30%,0.142,0.283,0.253,0.323,0.395,0.315,96,3.5,-29.5,15.1,18.8,4.261533,1.317267,0.69817,-3.213333,-2.316667,1
2010,PHILADELPHIA PHILLIES,162,2277,6291,166,772,736,108,8.90%,16.90%,0.153,0.292,0.26,0.332,0.413,0.327,99,13.3,5.5,21.9,22.8,4.261533,1.317267,0.69817,-3.213333,-2.316667,1
2009,PHILADELPHIA PHILLIES,162,2285,6338,224,820,788,119,9.30%,18.20%,0.189,0.286,0.258,0.334,0.447,0.339,103,20.0,42.5,75.9,31.7,4.261533,1.317267,0.69817,-3.213333,-2.316667,1
2008,PHILADELPHIA PHILLIES,162,2396,6273,214,799,762,136,9.30%,17.80%,0.182,0.283,0.255,0.332,0.438,0.334,98,23.6,4.7,117.0,32.2,4.261533,1.317267,0.69817,-3.213333,-2.316667,1
2007,PHILADELPHIA PHILLIES,162,2446,6537,213,892,850,138,9.80%,18.40%,0.184,0.311,0.274,0.354,0.458,0.351,105,20.6,63.6,78.5,34.9,4.261533,1.317267,0.69817,-3.213333,-2.316667,1
2006,PHILADELPHIA PHILLIES,162,2410,6509,216,865,823,92,9.60%,18.50%,0.18,0.302,0.267,0.347,0.447,0.341,100,18.5,15.5,34.6,25.9,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2005,PHILADELPHIA PHILLIES,162,2273,6345,167,807,760,116,10.10%,17.10%,0.154,0.306,0.27,0.348,0.423,0.335,98,9.2,-2.9,88.2,29.3,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2004,PHILADELPHIA PHILLIES,162,2317,6456,215,840,802,100,10.00%,17.50%,0.176,0.297,0.267,0.345,0.443,0.34,100,5.5,5.8,50.4,26.7,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2003,PHILADELPHIA PHILLIES,162,2227,6333,166,791,757,72,10.30%,18.20%,0.158,0.301,0.261,0.343,0.419,0.332,100,1.2,1.3,59.1,26.4,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2002,PHILADELPHIA PHILLIES,161,2260,6323,165,710,676,104,10.10%,17.30%,0.163,0.294,0.259,0.339,0.422,0.331,101,1.1,5.4,22.8,23.4,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2001,PHILADELPHIA PHILLIES,162,2083,6219,164,746,708,153,8.90%,18.10%,0.154,0.297,0.26,0.329,0.414,0.321,92,9.9,-52.1,81.8,22.9,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2000,PHILADELPHIA PHILLIES,162,1954,6273,144,708,668,102,9.70%,17.80%,0.148,0.29,0.251,0.329,0.4,0.32,83,7.3,-137.5,51.5,11.8,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2024,SAN DIEGO PADRES,162,2429,6103,190,760,726,120,7.50%,17.60%,0.157,0.295,0.263,0.324,0.42,0.324,111,4.7,85.4,-30.7,26.6,4.37,1.28,0.693,-13.0,-8.0,1
2023,SAN DIEGO PADRES,162,2329,6180,205,752,719,137,10.60%,21.20%,0.17,0.283,0.244,0.329,0.413,0.323,106,5.6,50.8,-6.3,25.4,3.84,1.27,0.703,2.0,-8.0,0
2022,SAN DIEGO PADRES,162,2323,6175,153,705,682,49,9.30%,21.50%,0.141,0.289,0.241,0.318,0.382,0.308,102,-8.2,3.7,-17.8,20.8,3.82,1.2,0.713,16.0,-8.0,1
2021,SAN DIEGO PADRES,162,2497,6119,180,729,695,110,9.60%,21.60%,0.159,0.287,0.242,0.321,0.401,0.312,99,2.6,-8.5,32.3,23.0,3.87,1.24,0.708,22.0,-8.0,0
2020,SAN DIEGO PADRES,60,913,2231,95,325,312,55,9.10%,21.50%,0.209,0.291,0.257,0.333,0.466,0.341,116,5.4,52.3,6.8,13.7,3.86,1.2,0.708,-12.0,-8.0,1
2019,SAN DIEGO PADRES,162,2413,6019,219,682,652,70,8.40%,26.30%,0.172,0.293,0.238,0.308,0.41,0.305,89,-8.8,-98.8,27.6,11.7,4.66,1.32,0.694,-21.0,-8.0,0
2018,SAN DIEGO PADRES,162,2380,6059,162,617,583,95,7.80%,25.10%,0.145,0.294,0.235,0.297,0.38,0.294,84,4.8,-111.5,38.8,11.6,4.4,1.33,0.693,-39.0,-20.0,0
2017,SAN DIEGO PADRES,162,2342,5954,189,604,576,89,7.70%,25.20%,0.16,0.287,0.234,0.299,0.393,0.298,82,6.9,-132.5,20.1,9.2,4.67,1.4,0.684,-12.0,-17.0,0
2016,SAN DIEGO PADRES,162,2355,6000,177,686,654,125,7.50%,25.00%,0.155,0.291,0.235,0.299,0.39,0.297,84,8.9,-108.1,-2.8,8.2,4.43,1.33,0.692,-20.0,-16.0,0
2015,SAN DIEGO PADRES,162,2396,6019,148,650,623,82,7.10%,22.00%,0.142,0.292,0.243,0.3,0.385,0.298,90,5.0,-63.2,31.5,16.4,4.09,1.3,0.702,-31.0,-8.0,0
2014,SAN DIEGO PADRES,162,2362,5905,109,535,500,91,7.90%,21.90%,0.115,0.277,0.226,0.292,0.342,0.283,82,-6.2,-128.7,56.5,11.7,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2013,SAN DIEGO PADRES,162,2359,6122,146,618,578,118,7.60%,21.40%,0.133,0.294,0.245,0.308,0.378,0.302,94,8.8,-35.4,19.6,18.2,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2012,SAN DIEGO PADRES,162,2384,6112,121,651,610,155,8.80%,20.30%,0.133,0.297,0.247,0.319,0.38,0.307,97,13.8,-8.4,25.5,21.3,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2011,SAN DIEGO PADRES,162,2355,6074,91,593,563,170,8.20%,21.70%,0.112,0.294,0.237,0.305,0.349,0.29,86,18.2,-77.2,33.3,15.0,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2010,SAN DIEGO PADRES,162,2352,6148,132,665,630,124,8.80%,19.20%,0.125,0.29,0.246,0.317,0.371,0.304,92,9.3,-50.2,90.1,23.6,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2009,SAN DIEGO PADRES,162,2348,6179,141,638,605,82,9.50%,19.10%,0.138,0.284,0.242,0.321,0.381,0.309,93,-10.4,-67.1,28.5,15.5,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2008,SAN DIEGO PADRES,162,2343,6244,154,637,615,36,8.30%,20.20%,0.14,0.294,0.25,0.317,0.39,0.311,92,-4.2,-63.7,2.8,13.9,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2007,SAN DIEGO PADRES,163,2334,6326,171,741,704,55,8.80%,19.40%,0.16,0.291,0.251,0.322,0.411,0.32,96,3.3,-30.2,-16.6,15.8,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2006,SAN DIEGO PADRES,162,2396,6287,161,731,698,123,9.00%,17.60%,0.154,0.299,0.263,0.332,0.416,0.325,99,5.2,-5.0,65.1,26.1,4.261533,1.317267,0.69817,-3.213333,-2.316667,1
2005,SAN DIEGO PADRES,162,2380,6271,130,684,655,99,9.60%,15.60%,0.134,0.289,0.257,0.333,0.391,0.318,98,-0.3,-19.8,17.6,20.3,4.261533,1.317267,0.69817,-3.213333,-2.316667,1
2004,SAN DIEGO PADRES,162,2316,6313,139,768,722,52,9.00%,14.40%,0.141,0.301,0.273,0.342,0.414,0.329,103,8.1,30.5,22.3,25.9,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2003,SAN DIEGO PADRES,162,2384,6246,128,678,641,76,9.00%,17.20%,0.127,0.301,0.261,0.333,0.388,0.318,95,2.0,-38.3,60.8,22.4,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2002,SAN DIEGO PADRES,162,2372,6178,136,662,627,71,8.90%,17.20%,0.129,0.288,0.253,0.321,0.381,0.309,91,-12.4,-81.8,11.0,13.0,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2001,SAN DIEGO PADRES,162,2259,6278,161,789,753,129,10.80%,20.30%,0.147,0.297,0.252,0.336,0.399,0.321,97,6.4,-16.6,-7.1,17.7,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2000,SAN DIEGO PADRES,162,2169,6291,157,752,714,131,9.60%,18.70%,0.148,0.294,0.254,0.33,0.402,0.321,91,2.6,-77.5,30.9,15.3,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2024,BALTIMORE ORIOLES,162,2412,6176,235,786,759,98,7.90%,22.00%,0.186,0.288,0.25,0.315,0.435,0.324,115,-0.3,102.8,-30.3,28.8,4.08,1.27,0.696,-24.0,7.0,1
2023,BALTIMORE ORIOLES,162,2441,6123,183,807,780,114,8.40%,22.40%,0.166,0.305,0.255,0.321,0.421,0.32,105,16.1,56.0,-26.0,24.0,4.01,1.26,0.699,4.0,29.0,1
2022,BALTIMORE ORIOLES,162,2359,6049,171,674,639,95,7.90%,23.00%,0.154,0.284,0.236,0.305,0.39,0.305,101,4.0,9.0,-14.6,19.5,3.97,1.27,0.701,-2.0,1.0,0
2021,BALTIMORE ORIOLES,162,2376,5983,195,659,632,54,7.50%,24.30%,0.163,0.29,0.239,0.304,0.402,0.305,91,-6.7,-75.9,-67.7,6.1,5.84,1.51,0.674,-52.0,-50.0,0
2020,BALTIMORE ORIOLES,60,906,2242,77,274,264,19,7.30%,22.90%,0.171,0.309,0.258,0.321,0.429,0.323,102,-6.1,-0.7,-23.8,3.6,4.51,1.3,0.7,7.0,-5.0,0
2019,BALTIMORE ORIOLES,162,2386,6189,213,729,698,84,7.50%,23.20%,0.168,0.293,0.246,0.31,0.415,0.308,88,1.5,-91.8,-79.8,5.1,5.59,1.46,0.679,-86.0,-66.0,0
2018,BALTIMORE ORIOLES,162,2313,6034,188,622,593,81,7.00%,23.40%,0.152,0.286,0.239,0.298,0.391,0.299,87,-5.2,-99.7,-59.2,4.8,5.18,1.5,0.683,-109.0,-94.0,0
2017,BALTIMORE ORIOLES,162,2351,6140,232,743,713,32,6.40%,23.00%,0.175,0.306,0.26,0.312,0.435,0.318,95,-14.9,-51.3,-33.1,11.8,4.97,1.52,0.674,-40.0,-48.0,0
2016,BALTIMORE ORIOLES,162,2257,6089,253,744,710,19,7.70%,21.70%,0.188,0.291,0.256,0.317,0.443,0.326,103,-6.7,13.4,-10.3,21.4,4.22,1.35,0.69,-45.0,-51.0,1
2015,BALTIMORE ORIOLES,162,2249,6007,217,713,686,44,7.00%,22.20%,0.171,0.291,0.25,0.307,0.421,0.315,97,-4.9,-23.9,-5.9,17.7,4.05,1.32,0.695,17.0,6.0,0
2014,BALTIMORE ORIOLES,162,2294,6130,211,705,681,44,6.50%,21.00%,0.166,0.296,0.256,0.311,0.422,0.323,104,-6.2,21.9,34.2,27.3,4.261533,1.317267,0.69817,-3.213333,-2.316667,1
2013,BALTIMORE ORIOLES,162,2246,6144,212,745,719,79,6.80%,18.30%,0.171,0.288,0.26,0.313,0.431,0.323,101,13.8,16.4,19.9,25.3,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2012,BALTIMORE ORIOLES,162,2282,6160,214,712,677,58,7.80%,21.30%,0.17,0.286,0.247,0.311,0.417,0.317,96,-17.1,-44.0,-27.5,14.3,4.261533,1.317267,0.69817,-3.213333,-2.316667,1
2011,BALTIMORE ORIOLES,162,2262,6156,191,708,684,81,7.30%,18.20%,0.156,0.288,0.257,0.316,0.413,0.32,96,-11.3,-39.1,-56.4,11.3,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2010,BALTIMORE ORIOLES,162,2240,6109,133,613,577,76,6.90%,17.30%,0.127,0.296,0.259,0.316,0.386,0.31,87,-21.0,-111.8,-15.1,8.9,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2009,BALTIMORE ORIOLES,162,2281,6233,160,741,708,76,8.30%,16.30%,0.147,0.3,0.268,0.332,0.415,0.328,93,-20.1,-74.3,-31.9,11.2,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2008,BALTIMORE ORIOLES,161,2340,6211,172,782,750,81,8.60%,15.90%,0.162,0.296,0.267,0.333,0.429,0.333,99,-5.1,-17.0,-3.2,19.4,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2007,BALTIMORE ORIOLES,162,2348,6264,142,756,718,144,8.00%,15.00%,0.141,0.302,0.272,0.333,0.412,0.327,95,-9.0,-45.2,-17.2,15.1,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2006,BALTIMORE ORIOLES,162,2295,6240,164,768,727,121,7.60%,14.10%,0.146,0.302,0.277,0.339,0.424,0.331,96,-4.5,-36.4,-2.7,17.1,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2005,BALTIMORE ORIOLES,162,2323,6134,189,729,700,83,7.30%,14.70%,0.165,0.289,0.269,0.327,0.434,0.33,101,-9.5,-0.6,-18.7,18.8,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2004,BALTIMORE ORIOLES,162,2278,6431,169,842,803,101,8.20%,14.80%,0.15,0.309,0.281,0.345,0.432,0.337,103,6.4,31.9,-25.2,22.0,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2003,BALTIMORE ORIOLES,163,2196,6241,152,743,695,89,6.90%,14.50%,0.138,0.293,0.268,0.323,0.405,0.318,94,11.0,-35.3,-21.2,15.6,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2002,BALTIMORE ORIOLES,162,2217,6096,165,667,636,110,7.40%,16.30%,0.157,0.271,0.246,0.309,0.403,0.311,90,-1.2,-77.5,4.0,13.3,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2001,BALTIMORE ORIOLES,162,1839,6151,136,687,663,133,8.40%,16.10%,0.131,0.278,0.248,0.319,0.38,0.306,88,3.3,-91.5,-26.6,9.3,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2000,BALTIMORE ORIOLES,162,1901,6238,184,794,750,126,8.90%,14.40%,0.163,0.293,0.272,0.341,0.435,0.338,98,-3.9,-19.0,-38.4,15.3,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2024,WASHINGTON NATIONALS,162,2353,5971,135,660,621,223,7.60%,20.40%,0.132,0.288,0.243,0.309,0.375,0.3,92,6.6,-50.2,-52.1,10.0,5.1,1.5,0.681,-56.0,-21.0,0
2023,WASHINGTON NATIONALS,162,2305,6085,151,700,665,127,7.00%,18.90%,0.142,0.293,0.254,0.314,0.396,0.309,93,-3.3,-55.4,-37.4,11.4,5.0,1.46,0.683,-33.0,-16.0,0
2022,WASHINGTON NATIONALS,162,2347,5998,136,603,579,75,7.40%,20.40%,0.129,0.295,0.249,0.31,0.377,0.303,95,-14.6,-52.3,-76.3,8.2,5.01,1.44,0.679,-46.0,-21.0,0
2021,WASHINGTON NATIONALS,162,2386,6113,182,724,686,56,9.40%,21.30%,0.159,0.307,0.258,0.337,0.417,0.326,102,-13.1,1.8,14.8,22.2,5.08,1.42,0.681,-7.0,-5.0,0
2020,WASHINGTON NATIONALS,60,870,2218,66,293,279,33,8.70%,20.30%,0.17,0.308,0.264,0.336,0.433,0.33,104,-3.7,8.9,-22.6,4.6,5.09,1.5,0.679,-5.0,-21.0,0
2019,WASHINGTON NATIONALS,162,2327,6267,231,873,824,116,9.30%,20.90%,0.19,0.306,0.265,0.342,0.454,0.336,104,8.7,39.6,53.9,28.5,4.27,1.3,0.702,-11.0,-9.0,1
2018,WASHINGTON NATIONALS,162,2441,6288,191,771,737,119,10.00%,20.50%,0.164,0.297,0.254,0.335,0.419,0.325,101,7.1,13.2,31.0,24.4,4.04,1.24,0.706,-1.0,7.0,0
2017,WASHINGTON NATIONALS,162,2322,6214,215,819,796,108,8.70%,21.40%,0.183,0.311,0.266,0.332,0.449,0.331,99,10.3,0.8,18.2,23.2,4.04,1.3,0.699,-18.0,-2.0,1
2016,WASHINGTON NATIONALS,162,2302,6201,203,763,735,121,8.60%,20.20%,0.17,0.293,0.256,0.326,0.426,0.322,96,5.2,-27.2,41.3,21.6,3.51,1.2,0.714,73.0,9.0,1
2015,WASHINGTON NATIONALS,162,2245,6117,177,703,665,57,8.80%,22.00%,0.151,0.3,0.251,0.321,0.403,0.315,96,-2.3,-29.7,9.4,17.9,3.62,1.24,0.707,17.0,-21.0,0
2014,WASHINGTON NATIONALS,162,2265,6216,152,686,635,101,8.30%,21.00%,0.14,0.303,0.253,0.321,0.393,0.317,99,15.3,8.4,39.7,25.9,4.261533,1.317267,0.69817,-3.213333,-2.316667,1
2013,WASHINGTON NATIONALS,162,2241,6047,161,656,621,88,7.70%,19.70%,0.146,0.292,0.251,0.313,0.398,0.311,94,3.1,-34.7,16.5,17.7,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2012,WASHINGTON NATIONALS,162,2338,6221,194,731,688,105,7.70%,21.30%,0.166,0.308,0.261,0.322,0.428,0.324,101,-4.1,4.7,32.4,23.7,4.261533,1.317267,0.69817,-3.213333,-2.316667,1
2011,WASHINGTON NATIONALS,161,2341,6090,154,624,594,106,7.70%,21.70%,0.14,0.292,0.242,0.309,0.383,0.305,89,3.7,-73.4,43.5,16.6,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2010,WASHINGTON NATIONALS,162,2410,6100,149,655,634,110,8.20%,20.00%,0.14,0.294,0.25,0.318,0.39,0.313,90,-11.3,-84.4,51.2,15.9,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2009,WASHINGTON NATIONALS,162,2401,6273,156,710,685,73,9.80%,19.30%,0.148,0.302,0.258,0.337,0.406,0.327,96,-5.7,-37.9,-3.4,15.6,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2008,WASHINGTON NATIONALS,161,2397,6192,117,641,608,81,8.60%,17.70%,0.122,0.292,0.251,0.323,0.373,0.31,84,-16.8,-145.4,34.6,8.8,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2007,WASHINGTON NATIONALS,162,2528,6201,123,673,646,69,8.50%,18.20%,0.134,0.3,0.256,0.325,0.39,0.315,88,-10.8,-108.6,39.1,13.2,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2006,WASHINGTON NATIONALS,162,2430,6283,164,746,695,123,9.50%,18.40%,0.156,0.301,0.262,0.338,0.418,0.327,96,3.3,-27.3,18.8,19.5,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2005,WASHINGTON NATIONALS,162,2352,6142,117,639,615,45,8.00%,17.70%,0.134,0.293,0.252,0.322,0.386,0.309,88,-16.4,-112.9,78.8,16.6,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2004,WASHINGTON NATIONALS,162,2289,6138,151,635,605,109,8.10%,15.10%,0.143,0.273,0.249,0.313,0.392,0.306,77,-0.7,-184.6,36.0,5.7,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2003,WASHINGTON NATIONALS,162,2275,6116,144,711,682,100,8.50%,16.20%,0.143,0.29,0.258,0.326,0.401,0.316,85,-4.6,-124.7,21.3,9.6,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2002,WASHINGTON NATIONALS,162,2262,6250,162,735,695,118,9.20%,17.70%,0.157,0.298,0.261,0.334,0.418,0.326,93,-0.3,-58.5,-12.7,13.2,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2001,WASHINGTON NATIONALS,162,2165,6026,131,670,622,101,7.90%,17.80%,0.143,0.291,0.253,0.319,0.396,0.309,79,-2.2,-172.0,-14.2,1.0,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2000,WASHINGTON NATIONALS,162,2328,6153,178,738,705,58,7.70%,17.00%,0.165,0.299,0.266,0.326,0.432,0.327,87,-9.8,-116.7,1.2,8.3,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2024,NEW YORK METS,162,2404,6166,207,768,735,106,8.30%,22.40%,0.169,0.291,0.246,0.319,0.415,0.32,109,-7.9,55.4,-10.2,25.9,4.31,1.36,0.699,-4.0,-3.0,1
2023,NEW YORK METS,162,2374,6056,215,717,692,118,8.70%,22.00%,0.169,0.275,0.238,0.316,0.407,0.315,100,0.9,2.0,-22.0,18.5,4.3,1.35,0.696,-27.0,18.0,0
2022,NEW YORK METS,162,2340,6176,171,772,735,62,8.30%,19.70%,0.153,0.302,0.259,0.332,0.412,0.326,113,-8.2,88.4,-4.1,31.2,3.57,1.18,0.712,35.0,19.0,1
2021,NEW YORK METS,162,2419,5856,176,636,604,54,8.50%,23.80%,0.152,0.291,0.239,0.315,0.391,0.307,94,-11.8,-53.2,53.4,19.7,3.9,1.23,0.706,12.0,8.0,0
2020,NEW YORK METS,60,902,2279,86,286,278,20,8.60%,21.90%,0.187,0.32,0.272,0.348,0.459,0.347,123,-1.3,64.9,-9.1,11.5,5.01,1.4,0.685,-9.0,-6.0,0
2019,NEW YORK METS,162,2445,6290,242,791,767,56,8.20%,22.00%,0.185,0.299,0.257,0.328,0.442,0.325,105,-9.0,32.2,11.3,23.7,4.24,1.3,0.699,-32.0,-21.0,0
2018,NEW YORK METS,162,2333,6177,170,676,649,71,9.20%,22.70%,0.154,0.283,0.234,0.312,0.389,0.305,94,-3.4,-49.1,16.0,16.1,4.07,1.29,0.703,-13.0,23.0,0
2017,NEW YORK METS,162,2396,6169,224,735,713,58,8.60%,20.90%,0.184,0.286,0.25,0.32,0.434,0.322,101,-12.4,-8.4,-1.5,20.2,5.01,1.48,0.687,-39.0,-44.0,0
2016,NEW YORK METS,162,2430,6115,218,671,649,42,8.50%,21.30%,0.171,0.282,0.246,0.316,0.417,0.315,99,-15.3,-24.4,31.8,20.6,3.58,1.26,0.701,52.0,28.0,1
2015,NEW YORK METS,162,2325,6145,177,683,654,51,7.90%,21.00%,0.156,0.287,0.244,0.312,0.4,0.309,98,6.2,-6.9,48.7,24.6,3.98,1.27,0.694,39.0,15.0,1
2014,NEW YORK METS,162,2294,6145,125,629,602,101,8.40%,20.60%,0.126,0.286,0.239,0.308,0.364,0.299,92,-0.4,-56.0,35.1,18.1,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2013,NEW YORK METS,162,2378,6207,130,619,593,114,8.20%,22.30%,0.129,0.291,0.237,0.306,0.366,0.297,90,23.0,-49.2,17.6,16.7,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2012,NEW YORK METS,162,2420,6091,139,650,625,79,8.30%,20.50%,0.137,0.298,0.249,0.316,0.386,0.306,94,-3.2,-48.8,15.5,15.9,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2011,NEW YORK METS,162,2383,6335,108,718,676,130,9.00%,17.10%,0.127,0.307,0.264,0.335,0.391,0.319,102,11.1,25.0,-53.6,17.5,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2010,NEW YORK METS,162,2348,6144,128,656,625,130,8.20%,17.80%,0.134,0.287,0.249,0.314,0.383,0.307,89,10.6,-70.9,29.7,15.2,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2009,NEW YORK METS,162,2377,6159,95,671,631,122,8.50%,15.10%,0.124,0.307,0.27,0.335,0.394,0.32,94,-5.4,-48.2,-17.9,12.7,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2008,NEW YORK METS,162,2405,6388,172,799,751,138,9.70%,16.00%,0.154,0.296,0.266,0.34,0.42,0.332,100,12.7,13.4,75.3,29.3,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2007,NEW YORK METS,162,2335,6344,177,804,761,200,8.70%,15.50%,0.157,0.303,0.275,0.342,0.432,0.336,100,14.2,17.4,57.5,27.7,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2006,NEW YORK METS,162,2279,6291,200,834,800,146,8.70%,17.00%,0.181,0.293,0.264,0.334,0.445,0.334,99,20.5,13.8,66.4,28.1,4.261533,1.317267,0.69817,-3.213333,-2.316667,1
2005,NEW YORK METS,162,2213,6146,175,722,683,153,7.90%,17.50%,0.158,0.29,0.258,0.322,0.416,0.32,93,21.0,-32.8,13.2,18.1,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
